;  LST file generated by mikroListExporter - v.2.0 
; Date/Time: 7/4/2017 9:26:14 PM
;----------------------------------------------

;Address Opcode 	ASM
;__Lib_Lcd.c,125 :: 		
0x0560	0xDDEE      	RCALL       _Delay_1us
;__Lib_Lcd.c,126 :: 		
0x0562	0x9284      	BCF         LCD_EN, BitPos(LCD_EN+0) 
;__Lib_Lcd.c,127 :: 		
0x0564	0xDDE1      	RCALL       _Delay_5500us
;__Lib_Lcd.c,130 :: 		
0x0566	0x8284      	BSF         LCD_EN, BitPos(LCD_EN+0) 
;__Lib_Lcd.c,131 :: 		
0x0568	0xDDEA      	RCALL       _Delay_1us
;__Lib_Lcd.c,132 :: 		
0x056A	0x9284      	BCF         LCD_EN, BitPos(LCD_EN+0) 
;__Lib_Lcd.c,134 :: 		
0x056C	0x9A83      	BCF         LCD_D5, BitPos(LCD_D5+0) 
;__Lib_Lcd.c,135 :: 		
0x056E	0x8E83      	BSF         LCD_D7, BitPos(LCD_D7+0) 
;__Lib_Lcd.c,136 :: 		
0x0570	0x8284      	BSF         LCD_EN, BitPos(LCD_EN+0) 
;__Lib_Lcd.c,137 :: 		
0x0572	0xDDE5      	RCALL       _Delay_1us
;__Lib_Lcd.c,138 :: 		
0x0574	0x9284      	BCF         LCD_EN, BitPos(LCD_EN+0) 
;__Lib_Lcd.c,139 :: 		
0x0576	0xDDD8      	RCALL       _Delay_5500us
;__Lib_Lcd.c,142 :: 		
0x0578	0x9E83      	BCF         LCD_D7, BitPos(LCD_D7+0) 
;__Lib_Lcd.c,143 :: 		
0x057A	0x8883      	BSF         LCD_D4, BitPos(LCD_D4+0) 
;__Lib_Lcd.c,144 :: 		
0x057C	0x8284      	BSF         LCD_EN, BitPos(LCD_EN+0) 
;__Lib_Lcd.c,145 :: 		
0x057E	0xDDDF      	RCALL       _Delay_1us
;__Lib_Lcd.c,146 :: 		
0x0580	0x9284      	BCF         LCD_EN, BitPos(LCD_EN+0) 
;__Lib_Lcd.c,148 :: 		
0x0582	0x9883      	BCF         LCD_D4, BitPos(LCD_D4+0) 
;__Lib_Lcd.c,149 :: 		
0x0584	0x8284      	BSF         LCD_EN, BitPos(LCD_EN+0) 
;__Lib_Lcd.c,150 :: 		
0x0586	0xDDDB      	RCALL       _Delay_1us
;__Lib_Lcd.c,151 :: 		
0x0588	0x9284      	BCF         LCD_EN, BitPos(LCD_EN+0) 
;__Lib_Lcd.c,152 :: 		
0x058A	0xDDCE      	RCALL       _Delay_5500us
;__Lib_Lcd.c,155 :: 		
0x058C	0x8284      	BSF         LCD_EN, BitPos(LCD_EN+0) 
;__Lib_Lcd.c,156 :: 		
0x058E	0xDDD7      	RCALL       _Delay_1us
;__Lib_Lcd.c,157 :: 		
0x0590	0x9284      	BCF         LCD_EN, BitPos(LCD_EN+0) 
;__Lib_Lcd.c,159 :: 		
0x0592	0x8883      	BSF         LCD_D4, BitPos(LCD_D4+0) 
;__Lib_Lcd.c,160 :: 		
0x0594	0x8284      	BSF         LCD_EN, BitPos(LCD_EN+0) 
;__Lib_Lcd.c,161 :: 		
0x0596	0xDDD3      	RCALL       _Delay_1us
;__Lib_Lcd.c,162 :: 		
0x0598	0x9284      	BCF         LCD_EN, BitPos(LCD_EN+0) 
;__Lib_Lcd.c,163 :: 		
0x059A	0xDDC6      	RCALL       _Delay_5500us
;__Lib_Lcd.c,166 :: 		
0x059C	0x9883      	BCF         LCD_D4, BitPos(LCD_D4+0) 
;__Lib_Lcd.c,167 :: 		
0x059E	0x8284      	BSF         LCD_EN, BitPos(LCD_EN+0) 
;__Lib_Lcd.c,168 :: 		
0x05A0	0xDDCE      	RCALL       _Delay_1us
;__Lib_Lcd.c,169 :: 		
0x05A2	0x9284      	BCF         LCD_EN, BitPos(LCD_EN+0) 
;__Lib_Lcd.c,171 :: 		
0x05A4	0x8E83      	BSF         LCD_D7, BitPos(LCD_D7+0) 
;__Lib_Lcd.c,172 :: 		
0x05A6	0x8C83      	BSF         LCD_D6, BitPos(LCD_D6+0) 
;__Lib_Lcd.c,173 :: 		
0x05A8	0x8A83      	BSF         LCD_D5, BitPos(LCD_D5+0) 
;__Lib_Lcd.c,174 :: 		
0x05AA	0x8883      	BSF         LCD_D4, BitPos(LCD_D4+0) 
;__Lib_Lcd.c,175 :: 		
0x05AC	0x8284      	BSF         LCD_EN, BitPos(LCD_EN+0) 
;__Lib_Lcd.c,176 :: 		
0x05AE	0xDDC7      	RCALL       _Delay_1us
;__Lib_Lcd.c,177 :: 		
0x05B0	0x9284      	BCF         LCD_EN, BitPos(LCD_EN+0) 
;__Lib_Lcd.c,179 :: 		
0x05B2	0xDDBA      	RCALL       _Delay_5500us
;__Lib_Lcd.c,181 :: 		
0x05B4	0x8031      	BSF         __Lib_Lcd_cmd_status, BitPos(__Lib_Lcd_cmd_status+0) 
;__Lib_Lcd.c,182 :: 		
L_end_Lcd_Init:
0x05B6	0x0012      	RETURN      0
; end of _Lcd_Init
_main:
0x05B8	0xF003EC03  	CALL        1542, 0
;projetoFinal2.c,92 :: 		void main(){
;projetoFinal2.c,94 :: 		TRISC.RC5 = 0;
0x05BC	0x9A94      	BCF         TRISC, 5 
;projetoFinal2.c,95 :: 		PORTC.RC5 = 1;
0x05BE	0x8A82      	BSF         PORTC, 5 
;projetoFinal2.c,96 :: 		ADCON1 = 0x0F;
0x05C0	0x0E0F      	MOVLW       15
0x05C2	0x6EC1      	MOVWF       ADCON1 
;projetoFinal2.c,98 :: 		T0CON.T0CS = 0;
0x05C4	0x9AD5      	BCF         T0CON, 5 
;projetoFinal2.c,99 :: 		T0CON.PSA = 0;
0x05C6	0x96D5      	BCF         T0CON, 3 
;projetoFinal2.c,100 :: 		T0CON.T0PS2 = 1;
0x05C8	0x84D5      	BSF         T0CON, 2 
;projetoFinal2.c,101 :: 		T0CON.T0PS1 = 1;
0x05CA	0x82D5      	BSF         T0CON, 1 
;projetoFinal2.c,102 :: 		T0CON.T0PS0 = 0;
0x05CC	0x90D5      	BCF         T0CON, 0 
;projetoFinal2.c,103 :: 		T0CON.T08BIT = 0;
0x05CE	0x9CD5      	BCF         T0CON, 6 
;projetoFinal2.c,105 :: 		TMR0H = 0xDB;
0x05D0	0x0EDB      	MOVLW       219
0x05D2	0x6ED7      	MOVWF       TMR0H 
;projetoFinal2.c,106 :: 		TMR0L = 0x61;
0x05D4	0x0E61      	MOVLW       97
0x05D6	0x6ED6      	MOVWF       TMR0L 
;projetoFinal2.c,107 :: 		INTCON.TMR0IE = 1;
0x05D8	0x8AF2      	BSF         INTCON, 5 
;projetoFinal2.c,108 :: 		INTCON.TMR0IF = 0;
0x05DA	0x94F2      	BCF         INTCON, 2 
;projetoFinal2.c,109 :: 		T0CON.TMR0ON = 1;
0x05DC	0x8ED5      	BSF         T0CON, 7 
;projetoFinal2.c,110 :: 		INTCON.GIE = 1;
0x05DE	0x8EF2      	BSF         INTCON, 7 
;projetoFinal2.c,111 :: 		INTCON.PEIE = 1;
0x05E0	0x8CF2      	BSF         INTCON, 6 
;projetoFinal2.c,112 :: 		TRISB.RB0=1;
0x05E2	0x8093      	BSF         TRISB, 0 
;projetoFinal2.c,113 :: 		TRISB.RB1=1;
0x05E4	0x8293      	BSF         TRISB, 1 
;projetoFinal2.c,115 :: 		Grava_RTC();
0x05E6	0xDF23      	RCALL       _Grava_RTC
;projetoFinal2.c,117 :: 		while(1)
L_main7:
;projetoFinal2.c,119 :: 		Leitura_RTC();
0x05E8	0xDEF7      	RCALL       _Leitura_RTC
;projetoFinal2.c,121 :: 		}
0x05EA	0xD7FE      	BRA         L_main7
;projetoFinal2.c,123 :: 		}
L_end_main:
0x05EC	0xD7FF      	BRA         $+0
; end of _main
0x0606	0xF017EE10  	LFSR        1, 23
0x060A	0x0E18      	MOVLW       24
0x060C	0x6E00      	MOVWF       R0 
0x060E	0x0E01      	MOVLW       1
0x0610	0x6E01      	MOVWF       R1 
0x0612	0x0EEE      	MOVLW       238
0x0614	0x6EF6      	MOVWF       4086 
0x0616	0x0E05      	MOVLW       5
0x0618	0x6EF7      	MOVWF       TBLPTRH 
0x061A	0x0E00      	MOVLW       0
0x061C	0x6EF8      	MOVWF       TBLPTRU 
0x061E	0xF002EC0F  	CALL        1054, 0
0x0622	0x0012      	RETURN      0
;projetoFinal2.c,0 :: ?ICS_ucContador
0x05EE	0x00 ;?ICS_ucContador+0
; end of ?ICS_ucContador
;projetoFinal2.c,0 :: ?ICS?lstr2_projetoFinal2
0x05EF	0x4828 ;?ICS?lstr2_projetoFinal2+0
0x05F1	0x726F ;?ICS?lstr2_projetoFinal2+2
0x05F3	0x2961 ;?ICS?lstr2_projetoFinal2+4
0x05F5	0x00 ;?ICS?lstr2_projetoFinal2+6
; end of ?ICS?lstr2_projetoFinal2
;projetoFinal2.c,0 :: ?ICS_temp
0x05F6	0x0000 ;?ICS_temp+0
; end of ?ICS_temp
;projetoFinal2.c,0 :: ?ICS?lstr1_projetoFinal2
0x05F8	0x6552 ;?ICS?lstr1_projetoFinal2+0
0x05FA	0x6967 ;?ICS?lstr1_projetoFinal2+2
0x05FC	0x7473 ;?ICS?lstr1_projetoFinal2+4
0x05FE	0x6172 ;?ICS?lstr1_projetoFinal2+6
0x0600	0x646E ;?ICS?lstr1_projetoFinal2+8
0x0602	0x006F ;?ICS?lstr1_projetoFinal2+10
; end of ?ICS?lstr1_projetoFinal2
;projetoFinal2.c,0 :: ?ICS_iLeituraAD
0x0604	0x0000 ;?ICS_iLeituraAD+0
; end of ?ICS_iLeituraAD
Symbol List:
//** Routines locations **
//ADDRESS    SIZE    PROCEDURE
//----------------------------------------------
0x0008     [278]    _interrupt
0x011E      [10]    _Delay_50us
0x0128      [22]    _Delay_5500us
0x013E       [6]    _Delay_1us
0x0144     [124]    _Lcd_Cmd
0x01C0      [90]    _Lcd_Chr
0x021A      [12]    _Lcd_Chr_CP
0x0226      [26]    _I2C1_Is_Idle
0x0240     [122]    _Lcd_Out
0x02BA      [12]    _Delay_22us
0x02C6      [48]    _Converte_BCD
0x02F6      [42]    _I2C1_Rd
0x0320      [60]    _I2C1_Start
0x035C      [22]    _I2C1_Init
0x0372      [34]    _I2C1_Wr
0x0394      [10]    _I2C1_Repeated_Start
0x039E       [4]    _I2C1_Stop
0x03A2      [54]    _ADC_Read
0x03D8      [54]    _Leitura_RTC
0x040E      [16]    _EEPROM_Read
0x041E      [16]    ___CC2DW
0x042E      [64]    _Grava_RTC
0x046E      [54]    _Div_16X16_U
0x04A4      [52]    _EEPROM_Write
0x04D8      [74]    _Display_LCD
0x0522     [150]    _Lcd_Init
0x05B8      [54]    _main
//** Variables locations ** 
//ADDRESS    SIZE    VARIABLE
//----------------------------------------------
0x0000       [1]    SPI1_Write_tmp_L0
0x0000       [1]    UART1_Init_tmp_L0
0x0000       [1]    __Lib_SoftI2C_PutZerosToLATScl_temp_scl_L0
0x0000       [1]    __Lib_SoftI2C_PutZerosToLATSda_temp_sda_L0
0x0000       [1]    EEPROM_Write_SaveINTCON_L0
0x0000       [1]    FLASH_Erase_64_SaveINTCON_L0
0x0000       [1]    R0
0x0001       [1]    UART1_Read___tmp_UART1_Read_L0
0x0001       [1]    __Lib_TFT_16bit_JPEG_FileReadBytes_Result_L0
0x0001       [2]    FLASH_Read_N_Bytes_i_L0
0x0001       [1]    FLASH_Write_32_i_L0
0x0001       [1]    __Lib_TFT_16bit_JPEG_FileRead_i_L0
0x0001       [1]    FLASH_Erase_Write_64_i_L0
0x0001       [1]    R1
0x0001       [1]    __Lib_TFT_JPEG_FileRead_i_L0
0x0001       [1]    __Lib_TFT_JPEG_FileReadBytes_Result_L0
0x0001       [1]    I2C1_Rd_tmp_L0
0x0001       [1]    ispunct_rslt_L0
0x0001       [1]    __Lib_PS2_Wait_Falling_nsample_L0
0x0002       [2]    strlen_cp_L0
0x0002       [2]    memchr_s_L0
0x0002       [2]    memcpy_dd_L0
0x0002       [2]    memset_pp_L0
0x0002       [1]    R2
0x0002       [1]    FLASH_Erase_Write_64_j_L0
0x0002       [1]    FLASH_Write_32_SaveINTCON_L0
0x0003       [2]    __Lib_MmcFat16_f16_toInt_l_L0
0x0003       [1]    R3
0x0003       [1]    __Lib_Sprinti_?FLOC____Lib_Sprinti_Do_FillT29
0x0003       [1]    FLASH_Erase_Write_64_SaveINTCON_L0
0x0003       [1]    MM_Init_i_L0
0x0003       [2]    MM_TotalFreeMemSize_Tot_L0
0x0003       [2]    Ltrim_original_L0
0x0003       [2]    memmove_tt_L0
0x0004       [2]    strncpy_cp_L0
0x0004       [2]    strncat_cp_L0
0x0004       [2]    frexp_pom_L0
0x0004       [1]    __Lib_Sprinti_?FLOC____Lib_Sprinti_Do_FillT40
0x0004       [2]    __Lib_MemManager_MM_GetMemAlign_P_L0
0x0004       [2]    strcpy_cp_L0
0x0004       [2]    memcpy_ss_L0
0x0004       [1]    R4
0x0004       [2]    strcat_cp_L0
0x0005       [2]    Ltrim_p_L0
0x0005       [1]    R5
0x0005       [1]    __Lib_Sprinti_?FLOC____Lib_Sprinti_Do_FillT54
0x0005       [2]    LongIntToHex_input_half_L0
0x0005       [2]    memmove_ff_L0
0x0005       [1]    MM_TotalFreeMemSize_i_L0
0x0005       [2]    LongWordToHex_input_half_L0
0x0006       [1]    R6
0x0006       [1]    __Lib_Sprinti_?FLOC____Lib_Sprinti_Do_FillT69
0x0006       [1]    __Lib_MemManager_MM_GetMemAlign_i_L0
0x0007       [1]    __Lib_TFT_16bit_JPEG_GenerateHuffmanTables_bLength_L0
0x0007       [1]    R7
0x0007       [1]    __Lib_TFT_JPEG_GenerateHuffmanTables_bLength_L0
0x0008       [1]    __Lib_TFT_16bit_JPEG_GenerateHuffmanTables_bTable_L0
0x0008       [1]    __Lib_TFT_JPEG_GenerateHuffmanTables_bTable_L0
0x0008       [1]    R8
0x0009       [1]    R9
0x0009       [4]    __Lib_MmcFat16_f16_toLong_l_L0
0x000A       [1]    R10
0x000B       [1]    R11
0x000C       [1]    R12
0x000D       [1]    R13
0x000E       [1]    R14
0x000F       [1]    R15
0x0010       [1]    R16
0x0011       [1]    R17
0x0012       [1]    R18
0x0013       [1]    R19
0x0014       [1]    R20
0x0017       [1]    _ucContador
0x0018       [7]    ?lstr2_projetoFinal2
0x001F       [2]    _temp
0x0021      [12]    ?lstr1_projetoFinal2
0x002D       [2]    _iLeituraAD
0x002F       [1]    _ucMinuto
0x0030       [1]    _ucHora
0x0031       [0]    __Lib_Lcd_cmd_status
0x0032       [1]    _ucSegundo
0x0033       [4]    FARG_I2C1_Init_clock
0x0033       [1]    FARG_I2C1_Rd_ack
0x0033       [2]    I2C1_Start_j_L0
0x0033       [1]    FARG_I2C1_Wr_data_
0x0037       [1]    FARG_EEPROM_Read_address
0x0037       [1]    FARG_EEPROM_Write_address
0x0037       [1]    FARG_ADC_Read_channel
0x0038       [1]    FARG_EEPROM_Write_data_
0x0039       [1]    FARG_Converte_BCD_ucLinha
0x0039       [1]    FARG_Lcd_Out_row
0x003A       [1]    FARG_Converte_BCD_ucColuna
0x003A       [1]    FARG_Lcd_Out_column
0x003B       [1]    FARG_Converte_BCD_ucValor
0x003B       [2]    FARG_Lcd_Out_text
0x003D       [1]    Lcd_Out_i_L0
0x003E       [1]    FARG_Lcd_Chr_CP_out_char
0x003E       [1]    FARG_Lcd_Chr_row
0x003F       [1]    FARG_Lcd_Chr_column
0x0040       [1]    FARG_Lcd_Chr_out_char
0x0041       [1]    FARG_Lcd_Cmd_out_char
0x0F82       [1]    PORTC
0x0F83       [0]    LCD_D7
0x0F83       [0]    LCD_D6
0x0F83       [0]    LCD_D5
0x0F83       [0]    RD7_bit
0x0F83       [0]    RD6_bit
0x0F83       [0]    RD5_bit
0x0F83       [0]    RD4_bit
0x0F83       [0]    LCD_D4
0x0F84       [0]    LCD_RS
0x0F84       [0]    LCD_EN
0x0F84       [0]    RE1_bit
0x0F84       [0]    RE2_bit
0x0F8B       [0]    LATC4_bit
0x0F8B       [0]    LATC3_bit
0x0F93       [1]    TRISB
0x0F94       [0]    TRISC3_bit
0x0F94       [0]    TRISC4_bit
0x0F94       [1]    TRISC
0x0F95       [0]    LCD_D6_Direction
0x0F95       [0]    LCD_D5_Direction
0x0F95       [0]    LCD_D7_Direction
0x0F95       [0]    TRISD7_bit
0x0F95       [0]    LCD_D4_Direction
0x0F95       [0]    TRISD6_bit
0x0F95       [0]    TRISD4_bit
0x0F95       [0]    TRISD5_bit
0x0F96       [0]    LCD_RS_Direction
0x0F96       [0]    LCD_EN_Direction
0x0F96       [0]    TRISE1_bit
0x0F96       [0]    TRISE2_bit
0x0F9E       [1]    PIR1
0x0FA6       [1]    EECON1
0x0FA7       [1]    EECON2
0x0FA8       [1]    EEDATA
0x0FA9       [1]    EEADR
0x0FC0       [1]    ADCON2
0x0FC1       [1]    ADCON1
0x0FC2       [1]    ADCON0
0x0FC3       [1]    ADRESL
0x0FC4       [1]    ADRESH
0x0FC5       [1]    SSPCON2
0x0FC6       [1]    SSPCON1
0x0FC7       [1]    SSPSTAT
0x0FC8       [1]    SSPADD
0x0FC9       [1]    SSPBUF
0x0FD5       [1]    T0CON
0x0FD6       [1]    TMR0L
0x0FD7       [1]    TMR0H
0x0FD8       [1]    STATUS
0x0FD9       [1]    FSR2L
0x0FDA       [1]    FSR2H
0x0FDE       [1]    POSTINC2
0x0FE0       [1]    BSR
0x0FE1       [1]    FSR1L
0x0FE2       [1]    FSR1H
0x0FE4       [1]    PREINC1
0x0FE6       [1]    POSTINC1
0x0FE7       [1]    INDF1
0x0FE8       [1]    WREG
0x0FE9       [1]    FSR0L
0x0FEA       [1]    FSR0H
0x0FEE       [1]    POSTINC0
0x0FF2       [1]    INTCON
0x0FF3       [1]    PRODL
0x0FF4       [1]    PRODH
0x0FF5       [1]    TABLAT
0x0FF6       [1]    TBLPTRL
0x0FF7       [1]    TBLPTRH
0x0FF8       [1]    TBLPTRU
//** Constants locations ** 
//ADDRESS    SIZE    CONSTANT
//----------------------------------------------
0x05EE       [1]    ?ICS_ucContador
0x05EF       [7]    ?ICS?lstr2_projetoFinal2
0x05F6       [2]    ?ICS_temp
0x05F8      [12]    ?ICS?lstr1_projetoFinal2
0x0604       [2]    ?ICS_iLeituraAD
